Lng|Lat|Name|Genders|Ages|Status|FB|Email|Website|Location|Founded|Defunct|Rulesets|Info
-58.37|-34.66|Desalmadas Roller Derby|W|A|B|https://www.facebook.com/desalmadasrd|||Avellaneda,Buenos Aires,Argentina|2015-10-12||WFTDA|Member of:
-62.27|-38.72|Brujas Roller Derby|W|A|B|https://www.facebook.com/BahiaRD|brujasrollergirlsrd@gmail.com|https://www.facebook.com/BahiaRD|Bahia Blanca,Buenos Aires,Argentina|2015-02-16||WFTDA|Member of:
-62.27|-38.72|BrujoZ Roller Derby|M|A|P|https://www.facebook.com/BrujoZ.RD/|brujozrollerderby@gmail.com|https://www.instagram.com/brujozrollerderby/|Bahía Blanca,Buenos Aires,Argentina|2018-03-03||WFTDA|Member of:
-58.21|-34.76|Kamikazes Roller Derby|W|A|B|https://www.facebook.com/berazategui.rollerderby|berazateguirollerderby@gmail.com|https://www.facebook.com/KamikazesRD|Berazategui,Buenos Aires,Argentina|2013-12-10||WFTDA|Member of:
-58.38|-34.60|2x4 Roller Derby|W|A,J|B|https://www.facebook.com/2x4RollerDerby|info@2x4rollerderby.com.ar|http://www.2x4rollerderby.com.ar|Buenos Aires,Buenos Aires,Argentina|2010-06-20||WFTDA,JRDA|Member of:WFTDA-M
-58.38|-34.60|Buenos Aires Conspiracy|M|A|B|https://www.facebook.com/BAConspiracy||https://www.facebook.com/BAConspiracy|Buenos Aires,Buenos Aires,Argentina|||WFTDA|Member of:
-58.38|-34.60|Jimmy Rustlers Roller Derby|C|A|S|https://www.facebook.com/JimmyRustlersRD/|jimmyrustlers.rd@gmail.com||Buenos Aires,Buenos Aires,Argentina|2016-11-19||WFTDA|Member of:
-58.38|-34.60|Liga Buenos Aires Roller Derby|W|A|B|https://www.facebook.com/LigaBuenosAiresRD/|rollerderbyba@gmail.com|https://www.facebook.com/CougarRollersRD|Buenos Aires,Buenos Aires,Argentina|2010-09-28||WFTDA|Member of:
-58.38|-34.60|Mambas Negras Roller Derby|W|A|B|https://www.facebook.com/mambasnegrasrd||https://www.facebook.com/mambasnegrasrd|Buenos Aires,Buenos Aires,Argentina|||WFTDA|Member of:
-58.38|-34.60|Sailor City Rollers|W|A|B|https://www.facebook.com/SailorCityRollers/|sailorcityrollers@gmail.com|http://sailorcityrollers.com.ar/|Buenos Aires,Buenos Aires,Argentina|2012-01-04||WFTDA|Member of:WFTDA-A
-58.38|-34.60|ThunderQuads Roller Derby Masculino|M|A|B|https://www.facebook.com/ThunderQuadsRD/|thunderquads.rdm@gmail.com|https://www.facebook.com/ThunderQuadsRD/|Buenos Aires,Buenos Aires,Argentina|2012-06-20||WFTDA|Member of:
-58.65|-34.66|Rebel West Roller Derby|C|A|P|https://www.facebook.com/RebelWestRollerDerby/|rebelwestrd@gmail.com||Castelar,Buenos Aires,Argentina|2018-11-17||WFTDA|Member of:
-58.77|-34.52|Las Jose Cuchillo Roller Derby|W|A|P|https://www.facebook.com/josecuchillord/|lasjosecuchillo@gmail.com|https://www.facebook.com/josecuchillolytrd/|José C. Paz,Buenos Aires,Argentina|2014-11-27||WFTDA|Member of:
-58.77|-34.52|Macabras Roller Derby|W|A|P|https://www.facebook.com/Noroesterollerderby|rdnoroeste@gmail.com||Jose C. Paz,Buenos Aires,Argentina|2015-01-09||WFTDA|Member of:
-58.77|-34.52|Warriors Roller Derby|C|A|B|https://www.facebook.com/WarriorsRollerDerby|warriors.reclutamiento@gmail.com||José C. Paz,Buenos Aires,Argentina|2017-08-01||WFTDA|Member of:
-57.95|-34.92|Alianza Rebelde Roller Derby|W|A|B|https://www.facebook.com/AlianzaRebeldeRD|alianza.rebelderd@gmail.com|https://www.facebook.com/AlianzaRebeldeRD|La Plata,Buenos Aires,Argentina|2011-11-28||WFTDA|Member of:
-57.95|-34.92|Black Panthers Roller Derby|M|A|B|https://www.facebook.com/BlackPanthersRd||https://www.facebook.com/BlackPanthersRd|La Plata,Buenos Aires,Argentina|||WFTDA|Member of:
-57.95|-34.92|Chat Noir Roller Derby|W|A|B|https://www.facebook.com/chat.noir.rd|chatnoir.rd@gmail.com|https://www.facebook.com/chat.noir.rd|La Plata,Buenos Aires,Argentina|2012-12-18||WFTDA|Member of:
-57.95|-34.92|La Dinastía Roller Derby|W|A|B|https://www.facebook.com/LaDinastiaRollerDerby/|ladinastia.rd@gmail.com|https://www.facebook.com/LaDinastiaRD|La Plata,Buenos Aires,Argentina|2013-02-22||WFTDA|Member of:
-57.95|-34.92|Parias Roller Derby|W|A|B|https://www.facebook.com/pages/Parias-Roller-Derby/311362715633561||https://www.facebook.com/pages/Parias-Roller-Derby/311362715633561|La Plata,Buenos Aires,Argentina|||WFTDA|Member of:
-57.95|-34.92|Silver City Roller Derby|W|A|B|https://www.facebook.com/silvercityrollerderby/|silvercity.rd@gmail.com||La Plata,Buenos Aires,Argentina|2017-11-02||WFTDA|Member of:
-58.40|-34.70|Atomic Bombs Roller Derby|W|A|B|https://www.facebook.com/AtomicBombsRD||https://www.facebook.com/AtomicBombsRD|Lanús,Buenos Aires,Argentina|2014-03-23||WFTDA|Member of:
